parent_id,formula_x,strain_percent,mp_id,formula_y,formation_energy_per_atom,magnetic_type,magnetic_moment,pred_formE,pred_magMom
mp-867122,Ac2CuSi,0,mp-867122,Ac2CuSi,-0.271164717499999,NM,5.43e-05,-0.27283020682031034,0.014587489984261705
mp-867122,Ac2CuSi,3,mp-867122,Ac2CuSi,-0.271164717499999,NM,5.43e-05,-0.502292825833459,0.012891342505770238
mp-865470,Ac2CuSn,-3,mp-865470,Ac2CuSn,-0.374531716249997,NM,0.0144557,-0.36504130736485235,0.0160394850510569
mp-865470,Ac2CuSn,0,mp-865470,Ac2CuSn,-0.374531716249997,NM,0.0144557,-0.38216225329729125,0.04301539361878018
mp-865470,Ac2CuSn,3,mp-865470,Ac2CuSn,-0.374531716249997,NM,0.0144557,-0.4153887108804607,-4.595215516602102e-05
mp-862683,Ac2GaCu,-3,mp-862683,Ac2GaCu,-0.287378448749997,NM,1.0100000000000002e-05,-0.27951176956727236,0.009844926402804741
mp-862683,Ac2GaCu,0,mp-862683,Ac2GaCu,-0.287378448749997,NM,1.0100000000000002e-05,-0.2989250674371083,0.04809367531543098
mp-862683,Ac2GaCu,3,mp-862683,Ac2GaCu,-0.287378448749997,NM,1.0100000000000002e-05,-0.27274831754607,0.046298710575788604
mp-1183054,Ac2GaSi,-3,mp-1183054,Ac2GaSi,-0.417242170000001,NM,7.499999999999998e-06,-0.40882241319704127,-0.04839652217312827
mp-1183054,Ac2GaSi,0,mp-1183054,Ac2GaSi,-0.417242170000001,NM,7.499999999999998e-06,-0.46461513473781163,0.01974953303750454
mp-1183054,Ac2GaSi,3,mp-1183054,Ac2GaSi,-0.417242170000001,NM,7.499999999999998e-06,-0.6027987895532936,0.039138114304866606
mp-867241,Ac2GePd,-3,mp-867241,Ac2GePd,-0.665207049999995,NM,1.1e-06,-0.8124187832442096,0.18431695930719802
mp-867241,Ac2GePd,0,mp-867241,Ac2GePd,-0.665207049999995,NM,1.1e-06,-0.6629938568816823,-0.004637059248292289
mp-867241,Ac2GePd,3,mp-867241,Ac2GePd,-0.665207049999995,NM,1.1e-06,-0.6894364686194324,0.06081851789995919
